,Model,Brand,Fuel_type,Running_in_kms,Engine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,height,width,length,Weight,top_speed,Car_Price,Location,Car_age
3400,i20,Hyundai,Petrol,70296,1197,Manual,18.6,5,Other,81.83,Disc,Drum,1505,1734,3985,,170,509000,Delhi_NCR,6
3401,S-Presso,Maruti,Petrol,10070,998,Manual,21.7,5,Orange,67.05,Ventilated Disc,Drum,1564,1520,3565,1170,,426000,Delhi_NCR,2
3402,Wagon R,Maruti,Petrol,55892,998,Automatic,21.79,5,Other,67.05,Disc,Drum,1675,1620,3655,1340,,383000,Delhi_NCR,4
3403,City,Honda,Petrol,104077,1497,Manual,17.4,5,Silver,117.3,Disc,Drum,1495,1695,4440,,195,541000,Delhi_NCR,6
3404,i20,Hyundai,Petrol,17950,1197,Automatic,17.4,5,White,81.86,Disc,Drum,1505,1734,3985,,151,638000,Delhi_NCR,3
3405,Vento,Volkswagen,Petrol,78116,,Manual,,,,,,,,,,,,265000,Delhi_NCR,10
3406,Ecosport,Ford,Diesel,10296,1498,Manual,21.7,5,Other,98.96,Ventilated Disc,Drum,1647,1765,3998,1690,,841000,Delhi_NCR,1
3407,EON,Hyundai,Petrol,25538,814,Manual,21.1,5,Other,55.2,Disc,Drum,1500,1550,3495,,135,219000,Delhi_NCR,7
3408,Amaze,Honda,Petrol,38254,1198,Manual,18,5,Other,86.7,Disc,Drum,1505,1680,3990,,160,454000,Delhi_NCR,5
3409,Verna,Hyundai,Petrol,100421,1591,Manual,17,5,Other,121.3,Disc,Drum,1475,1729,4440,,,449000,Delhi_NCR,7
3410,Ciaz,Maruti,Diesel,79928,1248,Manual,28.09,5,Other,88.5,Ventilated Disc,Drum,1485,1730,4490,1595,190,540000,Delhi_NCR,5
3411,Bolero,Mahindra,Diesel,25420,2523,Manual,15.96,7,Other,62.1,Disc,Drum,1880,1745,4107,,117,676000,Delhi_NCR,3
3412,Wagon R,Maruti,Petrol,38781,998,Automatic,20.51,5,Other,67,Ventilated Disc,Drum,1700,1495,3599,1350,152,390000,Delhi_NCR,5
3413,Alto 800,Maruti,Petrol,47311,796,Manual,22.05,5,White,47.33,Disc,Drum,1475,1515,3445,1185,,240000,Delhi_NCR,4
3414,Tiago,Tata,Diesel,108673,1047,Manual,27.28,5,Other,69,Disc,Drum,1535,1647,3746,,150,298000,Delhi_NCR,3
3415,EON,Hyundai,Petrol,66411,814,Manual,21.1,5,Silver,55.2,Disc,Drum,1500,1550,3495,,135,226000,Delhi_NCR,8
3416,EON,Hyundai,Petrol,44079,814,Manual,21.1,5,White,55.2,Disc,Drum,1500,1550,3495,,135,241000,Delhi_NCR,7
3417,Wagon R,Maruti,Petrol,41299,998,Manual,21.79,5,Grey,67.05,Disc,Drum,1675,1620,3655,1340,,360000,Delhi_NCR,4
